d(1, 1) = 1.41421
d(2, 2) = 2.82843
d(3, 3) = 4.24264
d(4, 4) = 5.65685
d(5, 5) = 7.07107
d(6, 6) = 8.48528
d(7, 7) = 9.89949
d(8, 8) = 11.3137
d(9, 9) = 12.7279
d(10, 10) = 14.1421
d(11, 11) = 15.5563
d(12, 12) = 16.9706
d(13, 13) = 18.3848
d(14, 14) = 19.799
d(15, 15) = 21.2132
d(16, 16) = 22.6274
d(17, 17) = 24.0416
d(18, 18) = 25.4558
d(19, 19) = 26.8701
d(20, 20) = 28.2843
d(21, 21) = 29.6985
d(22, 22) = 31.1127
d(23, 23) = 32.5269
d(24, 24) = 33.9411
d(25, 25) = 35.3553
d(26, 26) = 36.7696
d(27, 27) = 38.1838
d(28, 28) = 39.598
d(29, 29) = 41.0122
d(30, 30) = 42.4264
d(31, 31) = 43.8406
d(32, 32) = 45.2548
d(33, 33) = 46.669
d(34, 34) = 48.0833
d(35, 35) = 49.4975
d(36, 36) = 50.9117
d(37, 37) = 52.3259
d(38, 38) = 53.7401
d(39, 39) = 55.1543
d(40, 40) = 56.5685
d(41, 41) = 57.9828
d(42, 42) = 59.397
d(43, 43) = 60.8112
d(44, 44) = 62.2254
d(45, 45) = 63.6396
d(46, 46) = 65.0538
d(47, 47) = 66.468
d(48, 48) = 67.8823
d(49, 49) = 69.2965
d(50, 50) = 70.7107
d(51, 51) = 72.1249
d(52, 52) = 73.5391
d(53, 53) = 74.9533
d(54, 54) = 76.3675
d(55, 55) = 77.7817
d(56, 56) = 79.196
d(57, 57) = 80.6102
d(58, 58) = 82.0244
d(59, 59) = 83.4386
d(60, 60) = 84.8528
d(61, 61) = 86.267
d(62, 62) = 87.6812
d(63, 63) = 89.0955
d(64, 64) = 90.5097
d(65, 65) = 91.9239
d(66, 66) = 93.3381
d(67, 67) = 94.7523
d(68, 68) = 96.1665
d(69, 69) = 97.5807
d(70, 70) = 98.9949
d(71, 71) = 100.409
d(72, 72) = 101.823
d(73, 73) = 103.238
d(74, 74) = 104.652
d(75, 75) = 106.066
d(76, 76) = 107.48
d(77, 77) = 108.894
d(78, 78) = 110.309
d(79, 79) = 111.723
d(80, 80) = 113.137
d(81, 81) = 114.551
d(82, 82) = 115.966
d(83, 83) = 117.38
d(84, 84) = 118.794
d(85, 85) = 120.208
d(86, 86) = 121.622
d(87, 87) = 123.037
d(88, 88) = 124.451
d(89, 89) = 125.865
d(90, 90) = 127.279
d(91, 91) = 128.693
d(92, 92) = 130.108
d(93, 93) = 131.522
d(94, 94) = 132.936
d(95, 95) = 134.35
d(96, 96) = 135.765
d(97, 97) = 137.179
d(98, 98) = 138.593
d(99, 99) = 140.007
d(100, 100) = 141.421
d(101, 101) = 142.836
d(102, 102) = 144.25
d(103, 103) = 145.664
d(104, 104) = 147.078
d(105, 105) = 148.492
d(106, 106) = 149.907
d(107, 107) = 151.321
d(108, 108) = 152.735
d(109, 109) = 154.149
d(110, 110) = 155.563
d(111, 111) = 156.978
d(112, 112) = 158.392
d(113, 113) = 159.806
d(114, 114) = 161.22
d(115, 115) = 162.635
d(116, 116) = 164.049
d(117, 117) = 165.463
d(118, 118) = 166.877
d(119, 119) = 168.291
d(120, 120) = 169.706
d(121, 121) = 171.12
d(122, 122) = 172.534
d(123, 123) = 173.948
d(124, 124) = 175.362
d(125, 125) = 176.777
d(126, 126) = 178.191
d(127, 127) = 179.605
d(128, 128) = 181.019
d(129, 129) = 182.434
d(130, 130) = 183.848
d(131, 131) = 185.262
d(132, 132) = 186.676
d(133, 133) = 188.09
d(134, 134) = 189.505
d(135, 135) = 190.919
d(136, 136) = 192.333
d(137, 137) = 193.747
d(138, 138) = 195.161
d(139, 139) = 196.576
d(140, 140) = 197.99
d(141, 141) = 199.404
d(142, 142) = 200.818
d(143, 143) = 202.233
d(144, 144) = 203.647
d(145, 145) = 205.061
d(146, 146) = 206.475
d(147, 147) = 207.889
d(148, 148) = 209.304
d(149, 149) = 210.718
d(150, 150) = 212.132
d(151, 151) = 213.546
d(152, 152) = 214.96
d(153, 153) = 216.375
d(154, 154) = 217.789
d(155, 155) = 219.203
d(156, 156) = 220.617
d(157, 157) = 222.032
d(158, 158) = 223.446
d(159, 159) = 224.86
d(160, 160) = 226.274
d(161, 161) = 227.688
d(162, 162) = 229.103
d(163, 163) = 230.517
d(164, 164) = 231.931
d(165, 165) = 233.345
d(166, 166) = 234.759
d(167, 167) = 236.174
d(168, 168) = 237.588
d(169, 169) = 239.002
d(170, 170) = 240.416
d(171, 171) = 241.831
d(172, 172) = 243.245
d(173, 173) = 244.659
d(174, 174) = 246.073
d(175, 175) = 247.487
d(176, 176) = 248.902
d(177, 177) = 250.316
d(178, 178) = 251.73
d(179, 179) = 253.144
d(180, 180) = 254.558
d(181, 181) = 255.973
d(182, 182) = 257.387
d(183, 183) = 258.801
d(184, 184) = 260.215
d(185, 185) = 261.63
d(186, 186) = 263.044
d(187, 187) = 264.458
d(188, 188) = 265.872
d(189, 189) = 267.286
d(190, 190) = 268.701
d(191, 191) = 270.115
d(192, 192) = 271.529
d(193, 193) = 272.943
d(194, 194) = 274.357
d(195, 195) = 275.772
d(196, 196) = 277.186
d(197, 197) = 278.6
d(198, 198) = 280.014
d(199, 199) = 281.428
d(200, 200) = 282.843
d(201, 201) = 284.257
d(202, 202) = 285.671
d(203, 203) = 287.085
d(204, 204) = 288.5
d(205, 205) = 289.914
d(206, 206) = 291.328
d(207, 207) = 292.742
d(208, 208) = 294.156
d(209, 209) = 295.571
d(210, 210) = 296.985
d(211, 211) = 298.399
d(212, 212) = 299.813
d(213, 213) = 301.227
d(214, 214) = 302.642
d(215, 215) = 304.056
d(216, 216) = 305.47
d(217, 217) = 306.884
d(218, 218) = 308.299
d(219, 219) = 309.713
d(220, 220) = 311.127
d(221, 221) = 312.541
d(222, 222) = 313.955
d(223, 223) = 315.37
d(224, 224) = 316.784
d(225, 225) = 318.198
d(226, 226) = 319.612
d(227, 227) = 321.026
d(228, 228) = 322.441
d(229, 229) = 323.855
d(230, 230) = 325.269
d(231, 231) = 326.683
d(232, 232) = 328.098
d(233, 233) = 329.512
d(234, 234) = 330.926
d(235, 235) = 332.34
d(236, 236) = 333.754
d(237, 237) = 335.169
d(238, 238) = 336.583
d(239, 239) = 337.997
d(240, 240) = 339.411
d(241, 241) = 340.825
d(242, 242) = 342.24
d(243, 243) = 343.654
d(244, 244) = 345.068
d(245, 245) = 346.482
d(246, 246) = 347.897
d(247, 247) = 349.311
d(248, 248) = 350.725
d(249, 249) = 352.139
d(250, 250) = 353.553
d(251, 251) = 354.968
d(252, 252) = 356.382
d(253, 253) = 357.796
d(254, 254) = 359.21
d(255, 255) = 360.624
d(256, 256) = 362.039
d(257, 257) = 363.453
d(258, 258) = 364.867
d(259, 259) = 366.281
d(260, 260) = 367.696
d(261, 261) = 369.11
d(262, 262) = 370.524
d(263, 263) = 371.938
d(264, 264) = 373.352
d(265, 265) = 374.767
d(266, 266) = 376.181
d(267, 267) = 377.595
d(268, 268) = 379.009
d(269, 269) = 380.423
d(270, 270) = 381.838
d(271, 271) = 383.252
d(272, 272) = 384.666
d(273, 273) = 386.08
d(274, 274) = 387.495
d(275, 275) = 388.909
d(276, 276) = 390.323
d(277, 277) = 391.737
d(278, 278) = 393.151
