Country;2012;
Afghanistan;60.5;
Albania;77.4;
Algeria;70.9;
American Samoa;..;
Andorra;..;
Angola;51.5;
Antigua and Barbuda;75.7;
Argentina;76.0;
Armenia;74.4;
Aruba;75.2;
Australia;82.1;
Austria;80.9;
Azerbaijan;70.6;
Bahamas, The;74.9;
Bahrain;76.5;
Bangladesh;70.3;
Barbados;75.1;
Belarus;72.1;
Belgium;80.4;
Belize;73.7;
Benin;59.1;
Bermuda;79.3;
Bhutan;67.9;
Bolivia;66.9;
Bosnia and Herzegovina;76.1;
Botswana;47.0;
Brazil;73.6;
Brunei Darussalam;78.4;
Bulgaria;74.3;
Burkina Faso;55.9;
Burundi;53.6;
Cambodia;71.4;
Cameroon;54.6;
Canada;81.2;
Cabo Verde;74.5;
Cayman Islands;..;
Central African Republic;49.5;
Chad;50.7;
Channel Islands;80.1;
Chile;79.6;
China;75.2;
Colombia;73.8;
Comoros;60.6;
Congo, Dem. Rep.;49.6;
Congo, Rep.;58.3;
Costa Rica;79.7;
Cote d'Ivoire;50.4;
Croatia;76.9;
Cuba;79.1;
Curacao;..;
Cyprus;79.6;
Czech Republic;78.1;
Denmark;80.1;
Djibouti;61.3;
Dominica;..;
Dominican Republic;73.2;
Ecuador;76.2;
Egypt, Arab Rep.;70.9;
El Salvador;72.1;
Equatorial Guinea;52.6;
Eritrea;62.2;
Estonia;76.4;
Ethiopia;63.0;
Faeroe Islands;82.0;
Fiji;69.7;
Finland;80.6;
France;82.6;
French Polynesia;76.1;
Gabon;63.1;
Gambia, The;58.6;
Georgia;73.9;
Germany;80.9;
Ghana;60.9;
Greece;80.6;
Greenland;..;
Grenada;72.6;
Guam;78.6;
Guatemala;71.7;
Guinea;55.8;
Guinea-Bissau;54.0;
Guyana;66.0;
Haiti;62.7;
Honduras;73.5;
Hong Kong SAR, China;83.5;
Hungary;75.1;
Iceland;82.9;
India;66.2;
Indonesia;70.6;
Iran, Islamic Rep.;73.8;
Iraq;69.2;
Ireland;80.9;
Isle of Man;..;
Israel;81.7;
Italy;82.9;
Jamaica;73.3;
Japan;83.1;
Jordan;73.7;
Kazakhstan;69.6;
Kenya;61.1;
Kiribati;68.5;
Korea, Dem. Rep.;69.5;
Korea, Rep.;81.4;
Kosovo;70.5;
Kuwait;74.4;
Kyrgyz Republic;70.0;
Lao PDR;67.8;
Latvia;73.8;
Lebanon;79.8;
Lesotho;48.8;
Liberia;60.2;
Libya;75.2;
Liechtenstein;82.4;
Lithuania;73.9;
Luxembourg;81.4;
Macao SAR, China;80.1;
Macedonia, FYR;75.0;
Madagascar;64.2;
Malawi;54.7;
Malaysia;74.8;
Maldives;77.6;
Mali;54.6;
Malta;80.7;
Marshall Islands;..;
Mauritania;61.4;
Mauritius;73.6;
Mexico;77.1;
Micronesia, Fed. Sts.;68.9;
Moldova;68.7;
Monaco;..;
Mongolia;67.3;
Montenegro;74.6;
Morocco;70.6;
Mozambique;49.8;
Myanmar;64.9;
Namibia;63.9;
Nepal;68.0;
Netherlands;81.1;
New Caledonia;76.3;
New Zealand;81.2;
Nicaragua;74.5;
Niger;58.0;
Nigeria;52.1;
Northern Mariana Islands;..;
Norway;81.5;
Oman;76.6;
Pakistan;66.4;
Palau;..;
Panama;77.4;
Papua New Guinea;62.3;
Paraguay;72.2;
Peru;74.5;
Philippines;68.6;
Poland;76.8;
Portugal;80.4;
Puerto Rico;78.5;
Qatar;78.5;
Romania;74.6;
Russian Federation;70.5;
Rwanda;63.5;
Samoa;73.0;
San Marino;..;
Sao Tome and Principe;66.1;
Saudi Arabia;75.5;
Senegal;63.2;
Serbia;75.2;
Seychelles;72.7;
Sierra Leone;45.3;
Singapore;82.1;
Sint Maarten (Dutch part);..;
Slovak Republic;76.1;
Slovenia;80.1;
Solomon Islands;67.5;
Somalia;54.7;
South Africa;56.1;
South Sudan;54.6;
Spain;82.4;
Sri Lanka;74.1;
St. Kitts and Nevis;..;
St. Lucia;74.7;
St. Martin (French part);79.0;
St. Vincent and the Grenadines;72.4;
Sudan;61.9;
Suriname;70.8;
Swaziland;48.9;
Sweden;81.7;
Switzerland;82.7;
Syrian Arab Republic;74.7;
Tajikistan;67.3;
Tanzania;60.8;
Thailand;74.2;
Timor-Leste;67.0;
Togo;56.2;
Tonga;72.5;
Trinidad and Tobago;69.8;
Tunisia;75.1;
Turkey;74.9;
Turkmenistan;65.3;
Turks and Caicos Islands;..;
Tuvalu;..;
Uganda;58.6;
Ukraine;70.9;
United Arab Emirates;77.0;
United Kingdom;81.5;
United States;78.7;
Uruguay;76.9;
Uzbekistan;68.1;
Vanuatu;71.4;
Venezuela, RB;74.5;
Vietnam;75.6;
Virgin Islands (U.S.);79.5;
West Bank and Gaza;73.0;
Yemen, Rep.;62.9;
Zambia;57.0;
Zimbabwe;58.0;
